"Content","Page"
"Minimum Standards of Carere and Support forrthe VViVictims of TTrTrafficking and Otherr Forms ofViViolence in South AAsia","2"
"Regional AAction ForumonStrerengthening the Carere of Survivors/ViVictims ofTrTrafficking and Otherr Forms of VViViolence","2"
"South AAsia Regional Initiative/Equity Support Prorogram","2"
"Shelterr Homes/Otherr Residential Institution","12"
"AAShelterHome(Rescue/Protectiveetc.
fforminorsandmajjors)shouldbe
availableatleastattheintra-country
level(i.e.foreach/orforagroupof
districts)and/orwithinavehiculartravel
time of a maximum of three hours.
WWherereofffffficiallyyddesiggnateddRescue///
ProrotectiveHomesdonotexist,other
reresidentialinstitutionswhichmeetthe
minimumstandardrdsspeciffieddinthis
Protocolmayybeadddditionallyyandd
temporarilyauthorizedtofunctionas
Rescue//ProtectiveHHomesfforthis
specific purpose.","12"
"TheHomeshouldbedesigned/altered
with special consideration to the
i.commonandspecialneedsofthe
persons it is meant to accommodate
ii.physicalandmentalstatusofthe
personsitismeanttoaccommodate
(e.g.personswithspecialphysical
needs,debilitatingconditionsand
other special needs).","12"
"WheretheHomeismeantto
accommodatechildren/womenwith
specialneeds,suitableaidsand
adaptations,andanyspecialfurnitureor
equipmentshouldbeprovidedtoenable
theresidentstoliveasnormalalifeas
possibleandshouldbedesigned/altered
byadheringtotherecommendationsofa
qualified occupational therapist.","13"
"ThebuildingandthepremisesoftheHomeshallbefreeofabnormalnoisepollution.","13"
"Thedesign,theaccess,easements,
privacystructures,bathingand
washingarrangements,recreation
arrangements,etc.areredesignedorr
altereredapproropriatelybytakinginto
consideration gender-r-based needs.","13"
"TheHomeshouldbedesigned/alterered
insuchawayastocompletely
andsatisfactorilymeetallthe
requirements/recommendations/and
standardsspecifiedbythererelevant
authority such as:
i.
ii.
iii.
iv.v.local municipal authority
buildingandconstructioncontrorolauthority
firere fighting service
public health authority
(Clearancesfroromalltheseauthoritiesshould be securered.)","13"
"Consideringthenaturereofthecrime
committedwithrerespecttothevictim,
itimportantthattheshelterris
wellprorotectedandgivesaccessonly
tocertainauthorizedindividuals
andafterrduescrutiny.y.Underrno
circumstancetheexploiters,their
rerepreresentatives,anyotherroffenders,
orrpersonsdetainedunderracriminal
chargeshouldgetaccesstothevictim
placed in the shelter.r.","13"
"TheHomeshouldbedesigned/alterered
insuchawaythatifitshareresthe
preremisesorrisinthevicinityofany
premiseswherepublicvisitsare
common,theHomeensureresthatthe
privacyofthereresidentvictimsisnot
compromised,andthatthereis
adequatephysicalseparationbetween
thetwoarereassothatmembersofthe
publicdonotaccidentallyenterrthe
preremises of the Home.","13"
"authorizationletterrorrotherrevidence
toprorovetheidentityofthevisitorrand
purpose of the visit.","14"
"Eachvictimshallhaveaseparatesingle
bedorhis/herownarereainadoubleor
tripleroroomofasuitablesize,witha
suitablebeddanddbedddding,seating,
storagefforclothes,lockableor
ottherrwisesafffesttorragggefforrperrsonall
possessions,awindowwithsufficient
light for study and other work.","14"
"Staffffsleepingroomsshallnotbepartof
thecommunallivingarea(exceptincase
ofveryyoungorsickchildren)but
shouldbelocatedclosetothevictims'
bedroomstorespondtonighttime
needs.","14"
"Thesafety/riskassessmentinrerelation
tovictims'knownandlikelyactivities,
thepotentialforrbullyingandabuse
withinandoutsideoftheHomeand
whereapplicabletheimpactoff
emergencyadmissionsonthevictims
shallalsobecarriedout,rerecordedin
writingandreregularlyrereviewedbythe
organizationrunningtheHomein
consultationwithsubjectmatter
experts.","14"
